Date,Line,In (Sum),Out (Sum),Load (Avg.),Load max,#APC-Trips
2023-06-30T19:00:00-05:00,YELLOW LATE NIGHT SATURDAY,0,0,0.0,0,2
2023-06-30T19:00:00-05:00,YELLOW SATURDAY,"1,039","1,039",6.3,37,42
2023-07-01T19:00:00-05:00,GREEN SUNDAY,"1,025","1,025",4.4,23,45
2023-07-01T19:00:00-05:00,GREY SUNDAY,746,746,5.1,17,38
2023-07-01T19:00:00-05:00,ILLINI LIMITED SUNDAY,318,318,2.1,11,59
2023-07-01T19:00:00-05:00,LAVENDER SUNDAY,386,386,4.8,17,41
2023-07-01T19:00:00-05:00,LIME SUNDAY,60,60,0.7,4,28
2023-07-01T19:00:00-05:00,RUBY SUNDAY,134,134,1.5,12,21
2023-07-01T19:00:00-05:00,SILVER LIMITED SUNDAY,103,103,1.0,7,50
2023-07-01T19:00:00-05:00,TEAL SUNDAY,279,279,4.2,20,27
2023-07-01T19:00:00-05:00,YELLOW SUNDAY,823,823,6.6,28,35
2023-07-02T19:00:00-05:00,BLUE,277,277,2.0,13,46
2023-07-02T19:00:00-05:00,BRONZE,108,108,1.1,8,35
2023-07-02T19:00:00-05:00,BROWN,645,645,1.7,17,60
2023-07-02T19:00:00-05:00,GOLD,609,609,1.4,32,74
2023-07-02T19:00:00-05:00,GOLDHOPPER,129,129,1.2,9,34
2023-07-02T19:00:00-05:00,GREEN,"1,290","1,290",2.8,24,85
2023-07-02T19:00:00-05:00,GREEN EVENING,340,340,3.3,19,19
2023-07-02T19:00:00-05:00,GREEN EXPRESS,103,103,1.2,11,18
2023-07-02T19:00:00-05:00,GREENHOPPER,660,660,4.1,36,34
2023-07-02T19:00:00-05:00,GREENHOPPER EVENING,155,155,2.9,12,14
2023-07-02T19:00:00-05:00,GREY,811,811,3.7,21,61
2023-07-02T19:00:00-05:00,GREY EVENING,203,203,3.7,17,15
